method,size,range,distribution,ordered,time
binarySort,3000000,200000,bimodal,True,2.615277051925659
quickSort,4000000,200000,bimodal,True,10.36960244178772
mergeSort,4000000,200000,bimodal,True,10.238871812820435
binarySort,4000000,200000,bimodal,True,3.628048896789551
quickSort,5000000,200000,bimodal,True,13.07629656791687
mergeSort,5000000,200000,bimodal,True,13.231521844863892
binarySort,5000000,200000,bimodal,True,4.432575464248657
quickSort,6000000,200000,bimodal,True,17.681957721710205
mergeSort,6000000,200000,bimodal,True,16.341562032699585
binarySort,6000000,200000,bimodal,True,5.381850004196167
quickSort,7000000,200000,bimodal,True,19.239600896835327
mergeSort,7000000,200000,bimodal,True,19.243374347686768
binarySort,7000000,200000,bimodal,True,6.457693338394165
quickSort,8000000,200000,bimodal,True,21.732244729995728
mergeSort,8000000,200000,bimodal,True,22.490705490112305
binarySort,8000000,200000,bimodal,True,7.315608501434326
quickSort,9000000,200000,bimodal,True,25.527681827545166
mergeSort,9000000,200000,bimodal,True,25.597428560256958
binarySort,9000000,200000,bimodal,True,8.215630292892456
quickSort,10000000,200000,bimodal,True,28.466000080108643
mergeSort,10000000,200000,bimodal,True,28.816312551498413
binarySort,10000000,200000,bimodal,True,9.199379682540894
quickSort,1000000,10000,zeros,True,0.48111486434936523
mergeSort,1000000,10000,zeros,True,1.9982407093048096
binarySort,1000000,10000,zeros,True,0.5230484008789062
quickSort,2000000,10000,zeros,True,1.1374659538269043
mergeSort,2000000,10000,zeros,True,4.252477169036865
binarySort,2000000,10000,zeros,True,1.1089789867401123
quickSort,3000000,10000,zeros,True,1.6293644905090332
mergeSort,3000000,10000,zeros,True,6.649481534957886
binarySort,3000000,10000,zeros,True,1.7561726570129395
quickSort,4000000,10000,zeros,True,2.407524585723877
mergeSort,4000000,10000,zeros,True,8.939398050308228
binarySort,4000000,10000,zeros,True,2.441671848297119
quickSort,5000000,10000,zeros,True,3.229621410369873
mergeSort,5000000,10000,zeros,True,11.467629194259644
binarySort,5000000,10000,zeros,True,3.086813449859619
quickSort,6000000,10000,zeros,True,3.69159197807312
mergeSort,6000000,10000,zeros,True,13.970680236816406
binarySort,6000000,10000,zeros,True,3.558502674102783
quickSort,7000000,10000,zeros,True,5.137938976287842
mergeSort,7000000,10000,zeros,True,17.095603466033936
binarySort,7000000,10000,zeros,True,4.2646424770355225
quickSort,8000000,10000,zeros,True,5.8986499309539795
mergeSort,8000000,10000,zeros,True,19.601678133010864
binarySort,8000000,10000,zeros,True,4.61214017868042
quickSort,9000000,10000,zeros,True,6.021072626113892
mergeSort,9000000,10000,zeros,True,21.467097997665405
binarySort,9000000,10000,zeros,True,5.143858194351196
quickSort,10000000,10000,zeros,True,6.8178017139434814
mergeSort,10000000,10000,zeros,True,23.970977067947388
binarySort,10000000,10000,zeros,True,5.882796764373779
quickSort,1000000,50000,zeros,True,0.5752813816070557
mergeSort,1000000,50000,zeros,True,2.0235836505889893
binarySort,1000000,50000,zeros,True,0.5777819156646729
quickSort,2000000,50000,zeros,True,1.149177074432373
mergeSort,2000000,50000,zeros,True,4.19739842414856
binarySort,2000000,50000,zeros,True,1.247107744216919
quickSort,3000000,50000,zeros,True,1.897515058517456
mergeSort,3000000,50000,zeros,True,6.541727066040039
binarySort,3000000,50000,zeros,True,1.9600985050201416
quickSort,4000000,50000,zeros,True,2.479942798614502
mergeSort,4000000,50000,zeros,True,8.888048887252808
binarySort,4000000,50000,zeros,True,2.7244932651519775
quickSort,5000000,50000,zeros,True,3.420513391494751
mergeSort,5000000,50000,zeros,True,11.503423690795898
binarySort,5000000,50000,zeros,True,3.473426103591919
quickSort,6000000,50000,zeros,True,4.470623254776001
mergeSort,6000000,50000,zeros,True,14.04693865776062
binarySort,6000000,50000,zeros,True,4.02972936630249
quickSort,7000000,50000,zeros,True,5.174540758132935
mergeSort,7000000,50000,zeros,True,16.540483474731445
binarySort,7000000,50000,zeros,True,4.68809962272644
quickSort,8000000,50000,zeros,True,5.965226650238037
mergeSort,8000000,50000,zeros,True,18.991057872772217
binarySort,8000000,50000,zeros,True,5.29364275932312
quickSort,9000000,50000,zeros,True,7.278387784957886
mergeSort,9000000,50000,zeros,True,21.751235246658325
binarySort,9000000,50000,zeros,True,5.946371078491211
quickSort,10000000,50000,zeros,True,7.972143650054932
mergeSort,10000000,50000,zeros,True,24.325420141220093
binarySort,10000000,50000,zeros,True,6.7689526081085205
quickSort,1000000,100000,zeros,True,0.6860013008117676
mergeSort,1000000,100000,zeros,True,2.0049705505371094
binarySort,1000000,100000,zeros,True,0.6312134265899658
quickSort,2000000,100000,zeros,True,1.1685585975646973
mergeSort,2000000,100000,zeros,True,4.273174047470093
binarySort,2000000,100000,zeros,True,1.3271350860595703
quickSort,3000000,100000,zeros,True,1.9717907905578613
mergeSort,3000000,100000,zeros,True,6.602757692337036
binarySort,3000000,100000,zeros,True,2.076362133026123
quickSort,4000000,100000,zeros,True,2.974923610687256
mergeSort,4000000,100000,zeros,True,8.978349447250366
binarySort,4000000,100000,zeros,True,2.926347017288208
quickSort,5000000,100000,zeros,True,3.6243016719818115
mergeSort,5000000,100000,zeros,True,11.544442415237427
binarySort,5000000,100000,zeros,True,3.74023699760437
quickSort,6000000,100000,zeros,True,4.348479270935059
mergeSort,6000000,100000,zeros,True,14.054283142089844
binarySort,6000000,100000,zeros,True,4.414026260375977
quickSort,7000000,100000,zeros,True,5.61109733581543
mergeSort,7000000,100000,zeros,True,16.53952145576477
binarySort,7000000,100000,zeros,True,5.002149343490601
quickSort,8000000,100000,zeros,True,6.294611930847168
mergeSort,8000000,100000,zeros,True,19.10924983024597
binarySort,8000000,100000,zeros,True,5.641064882278442
quickSort,9000000,100000,zeros,True,7.578030109405518
mergeSort,9000000,100000,zeros,True,21.815218687057495
binarySort,9000000,100000,zeros,True,6.39626932144165
quickSort,10000000,100000,zeros,True,7.809571266174316
mergeSort,10000000,100000,zeros,True,24.340431928634644
binarySort,10000000,100000,zeros,True,7.055302381515503
