method,size,range,distribution,ordered,time
mergeSort,7000000,10000,bimodal,True,38.64698815345764
binarySort,8000000,10000,bimodal,True,20.14176082611084
quickSort,8000000,10000,bimodal,True,33.3642053604126
mergeSort,8000000,10000,bimodal,True,43.84649658203125
binarySort,9000000,10000,bimodal,True,22.840983390808105
quickSort,9000000,10000,bimodal,True,37.65735864639282
mergeSort,9000000,10000,bimodal,True,49.7740912437439
binarySort,10000000,10000,bimodal,True,25.518502235412598
quickSort,10000000,10000,bimodal,True,41.95661973953247
mergeSort,10000000,10000,bimodal,True,55.29663372039795
binarySort,11000000,10000,bimodal,True,28.574632167816162
quickSort,11000000,10000,bimodal,True,47.359760999679565
mergeSort,11000000,10000,bimodal,True,62.19788670539856
binarySort,12000000,10000,bimodal,True,30.470797061920166
quickSort,12000000,10000,bimodal,True,54.82727932929993
mergeSort,12000000,10000,bimodal,True,67.7828357219696
binarySort,13000000,10000,bimodal,True,34.3117516040802
quickSort,1000000,20000,bimodal,True,3.1349236965179443
quickSort,13000000,10000,bimodal,True,59.36419868469238
binarySort,1000000,20000,bimodal,True,1.9690930843353271
mergeSort,1000000,20000,bimodal,True,4.317973852157593
quickSort,2000000,20000,bimodal,True,6.976067066192627
mergeSort,2000000,20000,bimodal,True,9.571719408035278
binarySort,2000000,20000,bimodal,True,4.457689046859741
mergeSort,13000000,10000,bimodal,True,74.08619546890259
binarySort,3000000,20000,bimodal,True,7.29933762550354
quickSort,3000000,20000,bimodal,True,12.417852878570557
binarySort,14000000,10000,bimodal,True,36.56974720954895
quickSort,14000000,10000,bimodal,True,61.44801068305969
mergeSort,3000000,20000,bimodal,True,15.023114681243896
binarySort,4000000,20000,bimodal,True,9.751456499099731
quickSort,4000000,20000,bimodal,True,15.402743339538574
mergeSort,4000000,20000,bimodal,True,20.352843046188354
quickSort,5000000,20000,bimodal,True,21.288259029388428
binarySort,5000000,20000,bimodal,True,12.375329971313477
mergeSort,14000000,10000,bimodal,True,80.47691607475281
mergeSort,5000000,20000,bimodal,True,26.531479120254517
quickSort,6000000,20000,bimodal,True,26.455841302871704
binarySort,6000000,20000,bimodal,True,15.363311767578125
binarySort,7000000,20000,bimodal,True,17.89157247543335
mergeSort,6000000,20000,bimodal,True,31.972381353378296
quickSort,7000000,20000,bimodal,True,31.00410223007202
mergeSort,7000000,20000,bimodal,True,38.013827323913574
binarySort,8000000,20000,bimodal,True,21.217823266983032
quickSort,8000000,20000,bimodal,True,35.85918831825256
mergeSort,8000000,20000,bimodal,True,43.01791524887085
binarySort,9000000,20000,bimodal,True,24.161280155181885
quickSort,9000000,20000,bimodal,True,41.28541350364685
mergeSort,9000000,20000,bimodal,True,49.58750820159912
binarySort,10000000,20000,bimodal,True,26.651247262954712
quickSort,10000000,20000,bimodal,True,44.45583391189575
mergeSort,10000000,20000,bimodal,True,56.120654582977295
binarySort,11000000,20000,bimodal,True,29.874578714370728
quickSort,11000000,20000,bimodal,True,50.78356313705444
mergeSort,11000000,20000,bimodal,True,62.18663573265076
binarySort,12000000,20000,bimodal,True,33.556663274765015
quickSort,12000000,20000,bimodal,True,57.51996946334839
mergeSort,12000000,20000,bimodal,True,69.4487566947937
binarySort,13000000,20000,bimodal,True,37.64671182632446
quickSort,1000000,30000,bimodal,True,3.820155143737793
quickSort,13000000,20000,bimodal,True,66.53586101531982
mergeSort,1000000,30000,bimodal,True,4.563327074050903
binarySort,1000000,30000,bimodal,True,2.120542287826538
quickSort,2000000,30000,bimodal,True,7.745943069458008
mergeSort,2000000,30000,bimodal,True,9.527830839157104
binarySort,2000000,30000,bimodal,True,4.532269716262817
mergeSort,13000000,20000,bimodal,True,77.35090517997742
binarySort,3000000,30000,bimodal,True,7.228485107421875
quickSort,3000000,30000,bimodal,True,11.825242757797241
