method,size,range,distribution,ordered,time
mergeSort,1000000,30000,zeros,True,3.434811592102051
binarySort,1000000,30000,zeros,True,1.406503438949585
quickSort,2000000,30000,zeros,True,1.635211706161499
binarySort,10000000,20000,zeros,True,15.121928453445435
mergeSort,2000000,30000,zeros,True,7.0368452072143555
binarySort,2000000,30000,zeros,True,2.8012890815734863
quickSort,3000000,30000,zeros,True,2.560617208480835
mergeSort,9000000,20000,zeros,True,36.55425500869751
quickSort,4000000,30000,zeros,True,3.7250051498413086
binarySort,3000000,30000,zeros,True,4.179988384246826
mergeSort,3000000,30000,zeros,True,11.13334608078003
binarySort,4000000,30000,zeros,True,5.711780309677124
quickSort,5000000,30000,zeros,True,4.580492258071899
mergeSort,10000000,20000,zeros,True,40.041454792022705
mergeSort,4000000,30000,zeros,True,15.147052764892578
binarySort,5000000,30000,zeros,True,7.39743709564209
quickSort,6000000,30000,zeros,True,5.981496334075928
mergeSort,5000000,30000,zeros,True,19.44619607925415
